nth  vaddr      bind type lib          name
-------------------------------------------
561  0x10003070 NONE FUNC MFC42.DLL    CWinApp::CWinApp
825  0x10003074 NONE FUNC MFC42.DLL    operatordelete
815  0x10003078 NONE FUNC MFC42.DLL    CWinApp::~CWinApp
3953 0x1000307c NONE FUNC MFC42.DLL    CWinApp::InitInstance
823  0x10003080 NONE FUNC MFC42.DLL    operatornew
2725 0x10003084 NONE FUNC MFC42.DLL    CWinApp::ExitInstance
6467 0x10003088 NONE FUNC MFC42.DLL    AFX_MAINTAIN_STATE2::AFX_MAINTAIN_STATE2
3738 0x1000308c NONE FUNC MFC42.DLL    CWinApp::GetRuntimeClass
559  0x10003090 NONE FUNC MFC42.DLL    CUIntArray::CUIntArray
501  0x10003094 NONE FUNC MFC42.DLL    CPtrList::CPtrList
812  0x10003098 NONE FUNC MFC42.DLL    CUIntArray::~CUIntArray
5621 0x1000309c NONE FUNC MFC42.DLL    CPtrList::RemoveHead
6144 0x100030a0 NONE FUNC MFC42.DLL    CUIntArray::SetSize
1105 0x100030a4 NONE FUNC MFC42.DLL    AfxBeginThread
1138 0x100030a8 NONE FUNC MFC42.DLL    AfxEndThread
5610 0x100030ac NONE FUNC MFC42.DLL    CUIntArray::RemoveAt
5862 0x100030b0 NONE FUNC MFC42.DLL    CUIntArray::SetAtGrow
1083 0x100030b4 NONE FUNC MFC42.DLL    CPtrList::AddTail
1176 0x100030b8 NONE FUNC MFC42.DLL    AfxGetThreadState
1575 0x100030bc NONE FUNC MFC42.DLL    AfxWinInit
1168 0x100030c0 NONE FUNC MFC42.DLL    AfxGetModuleState
1577 0x100030c4 NONE FUNC MFC42.DLL    AfxWinTerm
1182 0x100030c8 NONE FUNC MFC42.DLL    AfxInitExtensionModule
342  0x100030cc NONE FUNC MFC42.DLL    CDynLinkLibrary::CDynLinkLibrary
1243 0x100030d0 NONE FUNC MFC42.DLL    AfxSetModuleState
1197 0x100030d4 NONE FUNC MFC42.DLL    AfxLockTempMaps
1570 0x100030d8 NONE FUNC MFC42.DLL    AfxUnlockTempMaps
1253 0x100030dc NONE FUNC MFC42.DLL    AfxTermExtensionModule
1255 0x100030e0 NONE FUNC MFC42.DLL    AfxTermThread
4424 0x100030e4 NONE FUNC MFC42.DLL    CCmdTarget::OnCmdMsg
4622 0x100030e8 NONE FUNC MFC42.DLL    CCmdTarget::OnFinalRelease
4080 0x100030ec NONE FUNC MFC42.DLL    CCmdTarget::IsInvokeAllowed
3079 0x100030f0 NONE FUNC MFC42.DLL    CCmdTarget::GetDispatchIID
3825 0x100030f4 NONE FUNC MFC42.DLL    CCmdTarget::GetTypeInfoCount
3831 0x100030f8 NONE FUNC MFC42.DLL    CCmdTarget::GetTypeLibCache
3830 0x100030fc NONE FUNC MFC42.DLL    CCmdTarget::GetTypeLib
2976 0x10003100 NONE FUNC MFC42.DLL    CCmdTarget::GetCommandMap
3081 0x10003104 NONE FUNC MFC42.DLL    CCmdTarget::GetDispatchMap
2985 0x10003108 NONE FUNC MFC42.DLL    CCmdTarget::GetConnectionMap
3262 0x1000310c NONE FUNC MFC42.DLL    CCmdTarget::GetInterfaceMap
3136 0x10003110 NONE FUNC MFC42.DLL    CCmdTarget::GetEventSinkMap
4465 0x10003114 NONE FUNC MFC42.DLL    CCmdTarget::OnCreateAggregates
3259 0x10003118 NONE FUNC MFC42.DLL    CCmdTarget::GetInterfaceHook
3147 0x1000311c NONE FUNC MFC42.DLL    CCmdTarget::GetExtraConnectionPoints
2982 0x10003120 NONE FUNC MFC42.DLL    CCmdTarget::GetConnectionHook
5714 0x10003124 NONE FUNC MFC42.DLL    CWinApp::Run
