nth  vaddr      bind type lib          name
-------------------------------------------
1    0x005c9b98 NONE FUNC MSIMG32.dll  TransparentBlt
1    0x005c9f74 NONE FUNC gdiplus.dll  GdipSaveAddImage
2    0x005c9f78 NONE FUNC gdiplus.dll  GdipSaveAdd
3    0x005c9f7c NONE FUNC gdiplus.dll  GdipSaveImageToFile
4    0x005c9f80 NONE FUNC gdiplus.dll  GdipLoadImageFromFileICM
5    0x005c9f84 NONE FUNC gdiplus.dll  GdipLoadImageFromFile
6    0x005c9f88 NONE FUNC gdiplus.dll  GdipCloneImage
7    0x005c9f8c NONE FUNC gdiplus.dll  GdipDisposeImage
8    0x005c9f90 NONE FUNC gdiplus.dll  GdipLoadImageFromStreamICM
9    0x005c9f94 NONE FUNC gdiplus.dll  GdipImageGetFrameDimensionsList
10   0x005c9f98 NONE FUNC gdiplus.dll  GdipDrawImageRectI
11   0x005c9f9c NONE FUNC gdiplus.dll  GdiplusStartup
12   0x005c9fa0 NONE FUNC gdiplus.dll  GdiplusShutdown
13   0x005c9fa4 NONE FUNC gdiplus.dll  GdipFillRectangleI
14   0x005c9fa8 NONE FUNC gdiplus.dll  GdipDeleteGraphics
15   0x005c9fac NONE FUNC gdiplus.dll  GdipImageGetFrameCount
16   0x005c9fb0 NONE FUNC gdiplus.dll  GdipImageSelectActiveFrame
17   0x005c9fb4 NONE FUNC gdiplus.dll  GdipCreateBitmapFromHBITMAP
18   0x005c9fb8 NONE FUNC gdiplus.dll  GdipGetImageEncodersSize
19   0x005c9fbc NONE FUNC gdiplus.dll  GdipGetImageEncoders
20   0x005c9fc0 NONE FUNC gdiplus.dll  GdipCreatePen1
21   0x005c9fc4 NONE FUNC gdiplus.dll  GdipDeletePen
22   0x005c9fc8 NONE FUNC gdiplus.dll  GdipSetPenWidth
23   0x005c9fcc NONE FUNC gdiplus.dll  GdipSetPenColor
24   0x005c9fd0 NONE FUNC gdiplus.dll  GdipSetSmoothingMode
25   0x005c9fd4 NONE FUNC gdiplus.dll  GdipDrawLineI
26   0x005c9fd8 NONE FUNC gdiplus.dll  GdipSetClipRectI
27   0x005c9fdc NONE FUNC gdiplus.dll  GdipCreateFromHDC
28   0x005c9fe0 NONE FUNC gdiplus.dll  GdipAlloc
29   0x005c9fe4 NONE FUNC gdiplus.dll  GdipFree
30   0x005c9fe8 NONE FUNC gdiplus.dll  GdipCloneBrush
31   0x005c9fec NONE FUNC gdiplus.dll  GdipDeleteBrush
32   0x005c9ff0 NONE FUNC gdiplus.dll  GdipCreateLineBrushFromRectI
33   0x005c9ff4 NONE FUNC gdiplus.dll  GdipResetClip
34   0x005c9ff8 NONE FUNC gdiplus.dll  GdipImageGetFrameDimensionsCount
35   0x005c9ffc NONE FUNC gdiplus.dll  GdipLoadImageFromStream
1    0x005c9ca4 NONE FUNC MSVFW32.dll  DrawDibClose
2    0x005c9ca8 NONE FUNC MSVFW32.dll  DrawDibOpen
3    0x005c9cac NONE FUNC MSVFW32.dll  DrawDibDraw
1    0x005c9cb4 NONE FUNC OPENGL32.dll wglDeleteContext
2    0x005c9cb8 NONE FUNC OPENGL32.dll glLightModelfv
3    0x005c9cbc NONE FUNC OPENGL32.dll glBlendFunc
4    0x005c9cc0 NONE FUNC OPENGL32.dll glPopAttrib
5    0x005c9cc4 NONE FUNC OPENGL32.dll glLightfv
6    0x005c9cc8 NONE FUNC OPENGL32.dll glEnable
7    0x005c9ccc NONE FUNC OPENGL32.dll glHint
8    0x005c9cd0 NONE FUNC OPENGL32.dll glGetString
9    0x005c9cd4 NONE FUNC OPENGL32.dll glOrtho
10   0x005c9cd8 NONE FUNC OPENGL32.dll wglMakeCurrent
11   0x005c9cdc NONE FUNC OPENGL32.dll wglCreateContext
12   0x005c9ce0 NONE FUNC OPENGL32.dll glLoadIdentity
13   0x005c9ce4 NONE FUNC OPENGL32.dll glMatrixMode
14   0x005c9ce8 NONE FUNC OPENGL32.dll glReadPixels
15   0x005c9cec NONE FUNC OPENGL32.dll glClearColor
16   0x005c9cf0 NONE FUNC OPENGL32.dll glClear
17   0x005c9cf4 NONE FUNC OPENGL32.dll glLineWidth
18   0x005c9cf8 NONE FUNC OPENGL32.dll glCallList
19   0x005c9cfc NONE FUNC OPENGL32.dll glFlush
20   0x005c9d00 NONE FUNC OPENGL32.dll glVertex3fv
21   0x005c9d04 NONE FUNC OPENGL32.dll glPixelStorei
22   0x005c9d08 NONE FUNC OPENGL32.dll glRasterPos2i
23   0x005c9d0c NONE FUNC OPENGL32.dll glBitmap
24   0x005c9d10 NONE FUNC OPENGL32.dll wglGetCurrentDC
25   0x005c9d14 NONE FUNC OPENGL32.dll glGenLists
26   0x005c9d18 NONE FUNC OPENGL32.dll glTranslatef
27   0x005c9d1c NONE FUNC OPENGL32.dll glColor3f
28   0x005c9d20 NONE FUNC OPENGL32.dll wglUseFontBitmapsA
29   0x005c9d24 NONE FUNC OPENGL32.dll glListBase
30   0x005c9d28 NONE FUNC OPENGL32.dll glRasterPos3f
31   0x005c9d2c NONE FUNC OPENGL32.dll glCallLists
32   0x005c9d30 NONE FUNC OPENGL32.dll glDeleteLists
33   0x005c9d34 NONE FUNC OPENGL32.dll glEndList
34   0x005c9d38 NONE FUNC OPENGL32.dll glPopMatrix
35   0x005c9d3c NONE FUNC OPENGL32.dll glEnd
36   0x005c9d40 NONE FUNC OPENGL32.dll glVertex3f
37   0x005c9d44 NONE FUNC OPENGL32.dll glColor3fv
38   0x005c9d48 NONE FUNC OPENGL32.dll glBegin
39   0x005c9d4c NONE FUNC OPENGL32.dll glPushMatrix
40   0x005c9d50 NONE FUNC OPENGL32.dll glNewList
41   0x005c9d54 NONE FUNC OPENGL32.dll glPushAttrib
42   0x005c9d58 NONE FUNC OPENGL32.dll glDisable
43   0x005c9d5c NONE FUNC OPENGL32.dll glViewport
1    0x005c9148 NONE FUNC GLU32.dll    gluLookAt
2    0x005c914c NONE FUNC GLU32.dll    gluPerspective
3    0x005c9f38 NONE FUNC WS2_32.dll   closesocket
12   0x005c9f3c NONE FUNC WS2_32.dll   inet_ntoa
19   0x005c9f40 NONE FUNC WS2_32.dll   send
115  0x005c9f44 NONE FUNC WS2_32.dll   WSAStartup
18   0x005c9f48 NONE FUNC WS2_32.dll   select
151  0x005c9f4c NONE FUNC WS2_32.dll   __WSAFDIsSet
16   0x005c9f50 NONE FUNC WS2_32.dll   recv
23   0x005c9f54 NONE FUNC WS2_32.dll   socket
9    0x005c9f58 NONE FUNC WS2_32.dll   htons
2    0x005c9f5c NONE FUNC WS2_32.dll   bind
10   0x005c9f60 NONE FUNC WS2_32.dll   ioctlsocket
13   0x005c9f64 NONE FUNC WS2_32.dll   listen
1    0x005c9f68 NONE FUNC WS2_32.dll   accept
116  0x005c9f6c NONE FUNC WS2_32.dll   WSACleanup
1    0x005c9000 NONE FUNC ADVAPI32.dll RegQueryValueExA
2    0x005c9004 NONE FUNC ADVAPI32.dll RegOpenKeyExA
3    0x005c9008 NONE FUNC ADVAPI32.dll RegSetValueExA
4    0x005c900c NONE FUNC ADVAPI32.dll RegCreateKeyExA
5    0x005c9010 NONE FUNC ADVAPI32.dll RegDeleteKeyA
6    0x005c9014 NONE FUNC ADVAPI32.dll RegOpenKeyA
7    0x005c9018 NONE FUNC ADVAPI32.dll CloseServiceHandle
8    0x005c901c NONE FUNC ADVAPI32.dll ControlService
9    0x005c9020 NONE FUNC ADVAPI32.dll QueryServiceStatus
10   0x005c9024 NONE FUNC ADVAPI32.dll OpenServiceA
11   0x005c9028 NONE FUNC ADVAPI32.dll OpenSCManagerA
12   0x005c902c NONE FUNC ADVAPI32.dll StartServiceA
13   0x005c9030 NONE FUNC ADVAPI32.dll RegQueryValueA
